team,date,player,dismissal,runs,balls,strikeRate,fours,sixes
team,date,player,dismissal,runs,balls,strikeRate,fours,sixes
Batsmen,,Runs,Balls,SR,4s,6s
EXTRAS,|(nb 0, w 5, b 1, lb 4, pen 0)|,10,,,,
TOTAL,(4 wickets; 20 overs),175,,,,
Batsmen,,Runs,Balls,SR,4s,6s
,Chris Lynn,NOT OUT,62,52,119.23,7,1
,Sunil Narine,c Colin de Grandhomme b Murugan Ashwin,27,19,142.10,3,1
,Robin Uthappa,c Tim Southee b Murugan Ashwin,36,21,171.42,3,3
,Nitish Rana,Retired,15,10,150.00,2,0
,Andre Russell,c Quinton de Kock b Mohammed Siraj,0,1,0.00,0,0
,Dinesh Karthik,c Virat Kohli b Mohammed Siraj,23,10,230.00,2,1
,Shubman Gill,NOT OUT,5,2,250.00,1,0
EXTRAS,|(nb 0, w 7, b 1, lb 0, pen 0)|,8,,,,
TOTAL,(4 wickets; 19.1 overs),176,,,,
Batsmen,,Runs,Balls,SR,4s,6s
,Alex Hales,c Sanju Samson b Krishnappa Gowtham,45,39,115.38,4,0
,Shikhar Dhawan,b Krishnappa Gowtham,6,4,150.00,1,0
,Kane Williamson,c Jos Buttler b Ish Sodhi,63,43,146.51,7,2
,Manish Pandey,c Ajinkya Rahane b Jaydev Unadkat,16,15,106.66,1,0
,Shakib Al Hasan,b Jofra Archer,6,6,100.00,1,0
,Yusuf Pathan,c Dhawal Kulkarni b Jofra Archer,2,3,66.66,0,0
,Wriddhiman Saha,NOT OUT,11,7,157.14,1,0
,Rashid Khan,c Ben Stokes b Jofra Archer,1,3,33.33,0,0
,Basil Thampi,NOT OUT,0,0,0.00,0,0
EXTRAS,|(nb 0, w 0, b 1, lb 0, pen 0)|,1,,,,
TOTAL,(7 wickets; 20 overs),151,,,,
Batsmen,,Runs,Balls,SR,4s,6s
,Ajinkya Rahane,NOT OUT,65,53,122.64,5,1
,Rahul Tripathi,b Sandeep Sharma,4,5,80.00,0,0
,Sanju Samson,c Alex Hales b Siddarth Kaul,40,30,133.33,3,1
,Ben Stokes,b Yusuf Pathan,0,3,0.00,0,0
,Jos Buttler,c Shikhar Dhawan b Rashid Khan,10,11,90.90,0,0
,Mahipal Lomror,c Wriddhiman Saha b Siddarth Kaul,11,12,91.66,0,0
,Krishnappa Gowtham,c Shikhar Dhawan b Basil Thampi,8,5,160.00,1,0
,Jofra Archer,NOT OUT,1,1,100.00,0,0
EXTRAS,|(nb 0, w 0, b 0, lb 1, pen 0)|,1,,,,
TOTAL,(6 wickets; 20 overs),140,,,,
Batsmen,,Runs,Balls,SR,4s,6s
,Shane Watson,c Mayank Markande b Krunal Pandya,12,11,109.09,1,0
,Ambati Rayudu,c Ben Cutting b Krunal Pandya,46,35,131.42,2,4
,Suresh Raina,NOT OUT,75,47,159.57,6,4
,MS Dhoni,c Evin Lewis b Mitchell McClenaghan,26,21,123.80,3,1
,Dwayne Bravo,c Mayank Markande b Mitchell McClenaghan,0,1,0.00,0,0
,Sam Billings,c Ben Cutting b Hardik Pandya,3,5,60.00,0,0
,Ravindra Jadeja,NOT OUT,0,0,0.00,0,0
EXTRAS,|(nb 0, w 4, b 0, lb 3, pen 0)|,7,,,,
TOTAL,(5 wickets; 20 overs),169,,,,
Batsmen,,Runs,Balls,SR,4s,6s
,Suryakumar Yadav,c Ravindra Jadeja b Harbhajan Singh,44,34,129.41,5,1
,Evin Lewis,c Shardul Thakur b Dwayne Bravo,47,43,109.30,3,2
,Rohit Sharma,NOT OUT,56,33,169.69,6,2
,Hardik Pandya,NOT OUT,13,8,162.50,0,1
EXTRAS,|(nb 0, w 5, b 4, lb 1, pen 0)|,10,,,,
TOTAL,(2 wickets; 19.4 overs),170,,,,
Batsmen,,Runs,Balls,SR,4s,6s
,Prithvi Shaw,b Piyush Chawla,62,44,140.90,7,2
,Colin Munro,b Shivam Mavi,33,18,183.33,4,2
,Shreyas Iyer,NOT OUT,93,40,232.50,3,10
,Rishabh Pant,c Dinesh Karthik b Andre Russell,0,1,0.00,0,0
,Glenn Maxwell,run out (Shivam Mavi),27,18,150.00,1,2
,Vijay Shankar,NOT OUT,0,0,0.00,0,0
EXTRAS,|(nb 1, w 2, b 0, lb 1, pen 0)|,4,,,,
TOTAL,(4 wickets; 20 overs),219,,,,
Batsmen,,Runs,Balls,SR,4s,6s
,Chris Lynn,b Glenn Maxwell,5,6,83.33,1,0
,Sunil Narine,c Shreyas Iyer b Trent Boult,26,9,288.88,1,3
,Robin Uthappa,c Prithvi Shaw b Trent Boult,1,2,50.00,0,0
,Nitish Rana,c & b Avesh Khan,8,7,114.28,1,0
,Dinesh Karthik,c Trent Boult b Amit Mishra,18,18,100.00,0,1
